x,y
3.39602,2.05582
3.40245,2.06123
3.40887,2.06664
3.4153,2.07205
3.42172,2.07746
3.42815,2.08287
3.43457,2.08829
3.44099,2.0937
3.44742,2.09911
3.45384,2.10452
3.46027,2.10993
3.46669,2.11534
3.47312,2.12075
3.47954,2.12617
3.48597,2.13158
3.49239,2.13699
3.49882,2.1424
3.50524,2.14781
3.51167,2.15322
3.51809,2.15863
3.52452,2.16405
3.53094,2.16946
3.53737,2.17487
3.54379,2.18028
3.55021,2.18569
3.55664,2.1911
3.56306,2.19651
3.56949,2.20193
3.57591,2.20734
3.58234,2.21275
3.58876,2.21816
3.59519,2.22357
3.60161,2.22898
3.60804,2.23439
3.61446,2.23981
3.62089,2.24522
3.62731,2.25063
3.63374,2.25604
3.64016,2.26145
3.64658,2.26686
3.65301,2.27227
3.65943,2.27769
3.66586,2.2831
3.67228,2.28851
3.67871,2.29392
3.68513,2.29933
3.69156,2.30474
3.69798,2.31015
3.70441,2.31557
3.71083,2.32098
3.71726,2.32639
3.72368,2.3318
3.73011,2.33721
3.73653,2.34262
3.74295,2.34803
3.74938,2.35345
3.7558,2.35886
3.76223,2.36427
3.76865,2.36968
3.77508,2.37509
3.7815,2.3805
3.78793,2.38591
3.79435,2.39133
3.80078,2.39674
3.8072,2.40215
3.81363,2.40756
3.82005,2.41297
3.82648,2.41838
3.8329,2.42379
3.83932,2.42921
3.84575,2.43462
3.85217,2.44003
3.8586,2.44544
3.86502,2.45085
3.87145,2.45626
3.87787,2.46167
3.8843,2.46709
3.89072,2.4725
3.89715,2.47791
3.90357,2.48332
3.91,2.48873
3.91642,2.49414
3.92285,2.49955
3.92927,2.50497
3.93569,2.51038
3.94212,2.51579
3.94854,2.5212
3.95497,2.52661
3.96139,2.53202
3.96782,2.53743
3.97424,2.54285
3.98067,2.54826
3.98709,2.55367
3.99352,2.55908
3.99994,2.56449
4.00637,2.5699
4.01279,2.57531
4.01922,2.58073
4.02564,2.58614
4.03206,2.59155
4.03849,2.59696
4.04491,2.60237
4.05134,2.60778
4.05776,2.61319
4.06419,2.61861
4.07061,2.62402
4.07704,2.62943
4.08346,2.63484
4.08989,2.64025
4.09631,2.64566
4.10274,2.65107
4.10916,2.65649
4.11559,2.6619
4.12201,2.66731
4.12844,2.67272
4.13486,2.67813
4.14128,2.68354
4.14771,2.68895
4.15413,2.69437
4.16056,2.69978
4.16698,2.70519
4.17341,2.7106
4.17983,2.71601
4.18626,2.72142
4.19268,2.72683
4.19911,2.73225
4.20553,2.73766
4.21196,2.74307
4.21838,2.74848
4.22481,2.75389
4.23123,2.7593
4.23765,2.76471
4.24408,2.77013
4.2505,2.77554
4.25693,2.78095
4.26335,2.78636
4.26978,2.79177
4.2762,2.79718
4.28263,2.80259
4.28905,2.80801
4.29548,2.81342
4.3019,2.81883
4.30833,2.82424
4.31475,2.82965
4.32118,2.83506
4.3276,2.84047
4.33402,2.84589
4.34045,2.8513
4.34687,2.85671
4.3533,2.86212
4.35972,2.86753
4.36615,2.87294
4.37257,2.87835
4.379,2.88377
4.38542,2.88918
4.39185,2.89459
4.39827,2.9
4.4047,2.90541
4.41112,2.91082
4.41755,2.91623
4.42397,2.92165
4.43039,2.92706
4.43682,2.93247
4.44324,2.93788
4.44967,2.94329
4.45609,2.9487
4.46252,2.95411
4.46894,2.95953
4.47537,2.96494
4.48179,2.97035
4.48822,2.97576
4.49464,2.98117
4.50107,2.98658
4.50749,2.99199
4.51392,2.99741
4.52034,3.00282
4.52676,3.00823
4.53319,3.01364
4.53961,3.01905
4.54604,3.02446
4.55246,3.02987
4.55889,3.03529
4.56531,3.0407
4.57174,3.04611
4.57816,3.05152
4.58459,3.05693
4.59101,3.06234
4.59744,3.06775
4.60386,3.07317
4.61029,3.07858
4.61671,3.08399
4.62314,3.0894
4.62956,3.09481
4.63598,3.10022
4.64241,3.10563
4.64883,3.11105
4.65526,3.11646
4.66168,3.12187
4.66811,3.12728
4.67453,3.13269
4.68096,3.1381
4.68738,3.14351
4.69381,3.14893
4.70023,3.15434
4.70666,3.15975
4.71308,3.16516
4.71951,3.17057
4.72593,3.17598
4.73235,3.18139
4.73878,3.18681
4.7452,3.19222
4.75163,3.19763
4.75805,3.20304
4.76448,3.20845
4.7709,3.21386
4.77733,3.21927
4.78375,3.22469
4.79018,3.2301
4.7966,3.23551
4.80303,3.24092
4.80945,3.24633
4.81588,3.25174
4.8223,3.25715
4.82872,3.26257
4.83515,3.26798
4.84157,3.27339
4.848,3.2788
4.85442,3.28421
4.86085,3.28962
4.86727,3.29503
4.8737,3.30045
4.88012,3.30586
4.88655,3.31127
4.89297,3.31668
4.8994,3.32209
4.90582,3.3275
4.91225,3.33291
4.91867,3.33833
4.92509,3.34374
4.93152,3.34915
4.93794,3.35456
4.94437,3.35997
4.95079,3.36538
4.95722,3.37079
4.96364,3.37621
4.97007,3.38162
4.97649,3.38703
4.98292,3.39244
4.98934,3.39785
4.99577,3.40326
5.00219,3.40867
5.00862,3.41409
5.01504,3.4195
5.02146,3.42491
5.02789,3.43032
5.03431,3.43573
5.04074,3.44114
5.04716,3.44655
5.05359,3.45197
5.06001,3.45738
5.06644,3.46279
5.07286,3.4682
5.07929,3.47361
5.08571,3.47902
5.09214,3.48443
5.09856,3.48985
5.10499,3.49526
5.11141,3.50067
5.11783,3.50608
5.12426,3.51149
5.13068,3.5169
5.13711,3.52231
5.14353,3.52773
5.14996,3.53314
